Administrator Master Load Form,,,,
,,,,
Year,2013,,,
Month,12,,,
,,,,
Staff List,,,,
Pool,User Name,User Email,Restrictions,Reason
R1,user1 Dude,user1@49x.com,1-31,V
R2,,user2@49x.com,,V
R3,,user3@49x.com,1-31,V
R4,,user4@49x.com,,V
R5,,user5@49x.com,11-14,V
OS,,user6@49x.com,14-31,V
R2,,user7@49x.com,1-17,V
R3,,user8@49x.com,24-27,V
R4,,user9@49x.com,14-28,V
R5,,user10@49x.com,1-21,V
R1,,user11@49x.com,1-31,V
R2,,user12@49x.com,,V
R3,,user13@49x.com,4-6 11-14,V
R4,,user14@49x.com,15-31,V
R5,,user15@49x.com,21-31,V
R1,,user16@49x.com,1-31,V
R2,,user17@49x.com,,V
R4,,user19@49x.com,11-14 22,V
R5,,user20@49x.com,,V
R1,,user21@49x.com,1-31,V
OS,,user22@49x.com,21-31,V
R4,,user24@49x.com,10-14 25-27 31,V
R5,,user25@49x.com,,V
R1,,user26@49x.com,,V
R2,,user27@49x.com,1-7,V
R4,,user29@49x.com,6 21-31,V
R5,,user30@49x.com,,V
R1,,user31@49x.com,1-21,V
R2,,user32@49x.com,11-13 15-28,V
OS,,user33@49x.com,1-7 21-31,V
OS,,user34@49x.com,15-31,V
R5,,user35@49x.com,,V
R2,,user37@49x.com,,V
R5,,user40@49x.com,,V
OS,OS,os@49x.com,,P
R1,,tony@49x.com,,P
,,,,
,,,,
Shifts,,,,
Job,Pools,Begin,End,Repeat
Senior Resident,R3 R4 R5,2013-12-01T09:00:00,2013-12-01T21:00:00,W
Junior Resident,R1 R2 OS,2013-12-01T09:00:00,2013-12-01T21:00:00,W
Senior Resident,R3 R4 R5,2013-12-02T09:00:00,2013-12-02T21:00:00,W
Junior Resident,R1 R2 OS,2013-12-02T09:00:00,2013-12-02T21:00:00,W
Senior Resident,R3 R4 R5,2013-12-03T09:00:00,2013-12-03T21:00:00,W
Junior Resident,R1 R2 OS,2013-12-03T09:00:00,2013-12-03T21:00:00,W
Senior Resident,R3 R4 R5,2013-12-04T09:00:00,2013-12-04T21:00:00,W
Junior Resident,R1 R2 OS,2013-12-04T09:00:00,2013-12-04T21:00:00,W
Senior Resident,R3 R4 R5,2013-12-05T09:00:00,2013-12-05T21:00:00,W
Junior Resident,R1 R2 OS,2013-12-05T09:00:00,2013-12-05T21:00:00,W
Senior Resident,R3 R4 R5,2013-12-06T09:00:00,2013-12-06T21:00:00,W
Junior Resident,R1 R2 OS,2013-12-06T09:00:00,2013-12-06T21:00:00,W
Senior Resident,R3 R4 R5,2013-12-07T09:00:00,2013-12-07T21:00:00,W
Junior Resident,R1 R2 OS,2013-12-07T09:00:00,2013-12-07T21:00:00,W
Senior Resident,R3 R4 R5,2013-12-25T09:00:00,2013-12-25T21:00:00,
,,,,
Rules,,,,
Rule ID,Format,,,
3,All individuals cannot work more than (24) hours in a (48) hour period,,,
,,,,
,,,,
Special Fields,Staff list,,,
,Other Search Conditions (Pools),Restrictions,Reason,
,"pool name, eg R5 R2","Single days, space separated (1 3 5)",V - (Vacation),
,dept. if OffService,"Range, days of current month (15-20)",P - Preferred Day Off,
,,Weekend (wkd),O - Other,
,,,,
,Schedule,,,
,Repeat,,,
,W - Weekly,,,
,D - Daily,,,
,(DELAYED) R - Work Days,,,
,(DELAYED) Mondays?,,,
,,,,
,Rules,,,
,Format,,,
,... detailed format to be designed,,,
